DATA,ABERTURA,MAXIMA,MINIMA,FECHAMENTO,BINARIO
2020-02-03 07:41:00,1.10628,1.1063,1.10623,1.10639,1.0
2020-02-03 07:46:00,1.10643,1.10656,1.10638,1.10653,1.0
2020-02-03 07:51:00,1.10653,1.10664,1.10653,1.10662,0.0
2020-02-03 07:56:00,1.10661,1.10661,1.10649,1.10652,1.0
2020-02-03 08:01:00,1.10652,1.10657,1.10638,1.10657,1.0
2020-02-03 08:06:00,1.10656,1.10663,1.10652,1.1066,0.0
2020-02-03 08:11:00,1.1066,1.10664,1.10657,1.10654,0.0
2020-02-03 08:16:00,1.10654,1.10657,1.10636,1.10632,1.0
2020-02-03 08:21:00,1.10634,1.10662,1.10634,1.10654,0.0
2020-02-03 08:26:00,1.10654,1.10654,1.10617,1.1063,1.0
2020-02-03 08:31:00,1.1063,1.10643,1.1063,1.10634,0.0
2020-02-03 08:36:00,1.10634,1.10634,1.10622,1.10631,1.0
2020-02-03 08:41:00,1.10632,1.10632,1.10626,1.10633,1.0
2020-02-03 08:46:00,1.10633,1.10653,1.10633,1.10653,0.0
2020-02-03 08:51:00,1.10654,1.10654,1.10636,1.10636,0.0
2020-02-03 08:56:00,1.10637,1.10642,1.10622,1.10627,0.0
2020-02-03 09:01:00,1.10628,1.10637,1.10616,1.10622,0.0
2020-02-03 09:06:00,1.10621,1.10621,1.10591,1.10596,0.0
2020-02-03 09:11:00,1.10595,1.10595,1.1057,1.10567,1.0
2020-02-03 09:16:00,1.10567,1.10573,1.10567,1.10571,0.0
2020-02-03 09:21:00,1.10573,1.10573,1.10541,1.10542,0.0
2020-02-03 09:26:00,1.10541,1.10548,1.10531,1.10526,0.0
2020-02-03 09:31:00,1.10525,1.1053,1.105,1.10504,1.0
2020-02-03 09:36:00,1.10504,1.10537,1.10504,1.10523,0.0
2020-02-03 09:41:00,1.10523,1.10523,1.10503,1.10494,0.0
2020-02-03 09:46:00,1.10493,1.10493,1.10466,1.10475,0.0
2020-02-03 09:51:00,1.10476,1.10476,1.10452,1.10456,0.0
2020-02-03 09:56:00,1.10455,1.10491,1.10455,1.10434,1.0
2020-02-03 10:01:00,1.10432,1.10484,1.10432,1.10467,1.0
2020-02-03 10:06:00,1.10468,1.10488,1.10468,1.10478,0.0
2020-02-03 10:11:00,1.10478,1.10478,1.10442,1.10475,1.0
2020-02-03 10:16:00,1.10474,1.10485,1.10459,1.10484,0.0
2020-02-03 10:21:00,1.10483,1.10499,1.10465,1.10469,1.0
2020-02-03 10:26:00,1.10469,1.10499,1.10469,1.1047,1.0
2020-02-03 10:31:00,1.10472,1.10493,1.10472,1.1048,0.0
2020-02-03 10:36:00,1.10481,1.10493,1.10462,1.10463,0.0
2020-02-03 10:41:00,1.10463,1.10486,1.10447,1.10459,1.0
2020-02-03 10:46:00,1.10459,1.105,1.10459,1.10497,1.0
2020-02-03 10:51:00,1.10496,1.10553,1.10492,1.10551,1.0
2020-02-03 10:56:00,1.10553,1.10598,1.10553,1.10574,1.0
2020-02-03 11:01:00,1.10575,1.10587,1.10568,1.10586,0.0
2020-02-03 11:06:00,1.10587,1.10587,1.10546,1.10558,0.0
2020-02-03 11:11:00,1.10558,1.10561,1.10543,1.10555,1.0
2020-02-03 11:16:00,1.10554,1.10601,1.10554,1.10597,0.0
2020-02-03 11:21:00,1.10598,1.10598,1.10566,1.10576,1.0
2020-02-03 11:26:00,1.10575,1.10589,1.10556,1.10589,1.0
2020-02-03 11:31:00,1.10588,1.10613,1.10588,1.10612,0.0
2020-02-03 11:36:00,1.10613,1.10616,1.10585,1.10596,1.0
2020-02-03 11:41:00,1.10597,1.10613,1.10582,1.10611,1.0
2020-02-03 11:46:00,1.10612,1.10643,1.10612,1.10641,0.0
2020-02-03 11:51:00,1.10641,1.10657,1.10641,1.10636,0.0
2020-02-03 11:56:00,1.10636,1.10636,1.10611,1.10614,1.0
2020-02-03 12:01:00,1.10614,1.10628,1.10612,1.10621,1.0
